State,Parliamentary Constituency,Parliamentary ConstituencyName,Parliamentary ConstituencyType,WinnerCandidate,WinnerParty,Winner%,WinnerVotes,Runner UpCandidate,Runner UpParty,Runner Up%,Runner UpVotes,Margin_%,Margin_Votes
Andaman and Nicobar Islands,1,Andaman & Nicobar Islands,GEN,Bishnu Pada Ray,BJP,50.60%,102436,Kuldeep Rai Sharma,INC,38.50%,78040,12.10%,24396
Andhra Pradesh[27],1,Araku,(ST),Gumma Thanuja Rani,YSRCP,40.96%,477005,Kothapalli Geetha,BJP,36.62%,426425,4.34%,50580
Andhra Pradesh[27],2,Srikakulam,GEN,Kinjarapu Ram Mohan Naidu,TDP,61.05%,754328,Perada Tilak,YSRCP,34.51%,426427,26.54%,327901
Andhra Pradesh[27],3,Vizianagaram,GEN,Appalanaidu Kalisetti,TDP,57.20%,743113,Bellana Chandra Sekhar,YSRCP,38.00%,493762,19.19%,249351
Andhra Pradesh[27],4,Visakhapatnam,GEN,Mathukumilli Bharat,TDP,65.42%,907467,Botsa Jhansi Lakshmi,YSRCP,29.07%,403220,36.35%,504247
Andhra Pradesh[27],5,Anakapalli,GEN,C. M. Ramesh,BJP,57.50%,762069,Budi Mutyala Naidu,YSRCP,35.13%,465539,22.37%,296530
Andhra Pradesh[27],6,Kakinada,GEN,Tangella Uday Srinivas,JSP,54.87%,729699,Chalamalasetti Sunil,YSRCP,37.62%,500208,17.26%,229491
Andhra Pradesh[27],7,Amalapuram,(SC),Ganti Harish Madhur,TDP,61.25%,796981,Rapaka Vara Prasada Rao,YSRCP,34.95%,454785,26.30%,342196
Andhra Pradesh[27],8,Rajahmundry,GEN,Daggubati Purandeswari,BJP,54.82%,726515,Guduri Srinivas,YSRCP,36.77%,487376,18,239139
Andhra Pradesh[27],9,Narasapuram,GEN,Bhupathi Raju Srinivasa Varma,BJP,57.46%,707343,Guduri Umabala,YSRCP,34.98%,430541,22.48%,276802
Andhra Pradesh[27],10,Eluru,GEN,Putta Mahesh Yadav,TDP,54%,746351,Karumuri Sunilkumar Yadav,YSRCP,40.84%,564494,13.16%,181857
Andhra Pradesh[27],11,Machilipatnam,GEN,Vallabhaneni Balashowry,JSP,55.22%,724439,Simhadri Chandrasekhar Rao,YSRCP,38.21%,501260,17.01%,223179
Andhra Pradesh[27],12,Vijayawada,GEN,Kesineni Sivanath,TDP,58.21%,794154,Kesineni Srinivas,YSRCP,37.53%,512069,20.68%,282085
Andhra Pradesh[27],13,Guntur,GEN,Chandra Sekhar Pemmasani,TDP,60.68%,864948,Kilari Venkata Rosaiah,YSRCP,36.50%,520253,24.18%,344695
